carat;cut;color;clarity;depth;table;price;x;y;z
32;Good;H;SI2;631;56;403;434;437;275
29;Premium;F;SI1;624;58;403;424;426;265
32;Very Good;H;SI2;618;55;403;435;442;271
32;Good;H;SI2;638;56;403;436;438;279
25;Very Good;E;VS2;633;60;404;4;403;254
29;Very Good;H;SI2;607;60;404;433;437;264
24;Very Good;F;SI1;609;61;404;402;403;245
23;Ideal;G;VS1;619;54;404;393;395;244
32;Ideal;I;SI1;609;55;404;445;448;272
22;Premium;E;VS2;616;58;404;393;389;241
22;Premium;D;VS2;593;62;404;391;388;231
3;Ideal;I;SI2;61;59;405;43;433;263
3;Premium;J;SI2;593;61;405;443;438;261
3;Very Good;I;SI1;626;57;405;425;428;267
3;Very Good;I;SI1;63;57;405;428;432;271
3;Good;I;SI1;632;55;405;425;429;27
35;Ideal;I;VS1;609;57;552;454;459;278
3;Premium;D;SI1;626;59;552;423;427;266
3;Ideal;D;SI1;625;57;552;429;432;269
3;Ideal;D;SI1;621;56;552;43;433;268
42;Premium;I;SI2;615;59;552;478;484;296
28;Ideal;G;VVS2;614;56;553;419;422;258
32;Ideal;I;VVS1;62;553;553;439;442;273
31;Very Good;G;SI1;633;57;553;433;43;273
31;Premium;G;SI1;618;58;553;435;432;268
24;Premium;E;VVS1;607;58;553;401;403;244
24;Very Good;D;VVS1;615;60;553;397;4;245
3;Very Good;H;SI1;631;56;554;429;427;27
3;Premium;H;SI1;629;59;554;428;424;268
3;Premium;H;SI1;625;57;554;429;425;267
3;Good;H;SI1;637;57;554;428;426;272
26;Very Good;F;VVS2;592;60;554;419;422;249
26;Very Good;E;VVS2;599;58;554;415;423;251
26;Very Good;D;VVS2;624;54;554;408;413;256
26;Very Good;D;VVS2;628;60;554;401;405;253
26;Very Good;E;VVS1;626;59;554;406;409;255
26;Very Good;E;VVS1;634;59;554;4;404;255
26;Very Good;D;VVS1;621;60;554;403;412;253
26;Ideal;E;VVS2;629;58;554;402;406;254
38;Ideal;I;SI2;616;56;554;465;467;287
26;Good;E;VVS1;579;60;554;422;425;245
24;Premium;G;VVS1;623;59;554;395;392;245
24;Premium;H;VVS1;612;58;554;401;396;244
24;Premium;H;VVS1;608;59;554;402;4;244
24;Premium;H;VVS2;607;58;554;407;404;246
32;Premium;I;SI1;629;58;554;435;433;273
7;Ideal;E;SI1;625;57;2757;57;572;357
86;Fair;E;SI2;551;69;2757;645;633;352
7;Ideal;G;VS2;616;56;2757;57;567;35
71;Very Good;E;VS2;624;57;2759;568;573;356
78;Very Good;G;SI2;638;56;2759;581;585;372
7;Good;E;VS2;575;58;2759;585;59;338
7;Good;F;VS1;594;62;2759;571;576;34
96;Fair;F;SI2;663;62;2759;627;595;407
73;Very Good;E;SI1;616;59;2760;577;578;356
8;Premium;H;SI1;615;58;2760;597;593;366
75;Very Good;D;SI1;632;56;2760;58;575;365
75;Premium;E;SI1;599;54;2760;6;596;358
74;Ideal;G;SI1;616;55;2760;58;585;359
75;Premium;G;VS2;617;58;2760;585;579;359
8;Ideal;I;VS1;629;56;2760;594;587;372
75;Ideal;G;SI1;622;55;2760;587;58;363
8;Premium;G;SI1;63;59;2760;59;581;369
74;Ideal;I;VVS2;623;55;2761;577;581;361
81;Ideal;F;SI2;588;57;2761;614;611;36
59;Ideal;E;VVS2;62;55;2761;538;543;335
8;Ideal;F;SI2;614;57;2761;596;6;367
74;Ideal;E;SI2;622;56;2761;58;584;362
9;Premium;I;VS2;63;58;2761;616;612;387
74;Very Good;G;SI1;622;59;2762;573;582;359
73;Ideal;F;VS2;626;56;2762;577;574;36
73;Ideal;F;VS2;627;53;2762;58;575;362
8;Premium;F;SI2;617;58;2762;598;594;368
71;Ideal;G;VS2;624;54;2762;572;576;358
7;Ideal;E;VS2;607;58;2762;573;576;349
8;Ideal;F;SI2;599;59;2762;601;607;362
71;Ideal;D;SI2;623;56;2762;573;569;356
74;Ideal;E;SI1;623;54;2762;58;583;362
7;Very Good;F;VS2;617;63;2762;564;561;347
7;Fair;F;VS2;645;57;2762;557;553;358
7;Fair;F;VS2;653;55;2762;563;558;366
7;Premium;F;VS2;616;60;2762;565;559;346
91;Premium;H;SI1;614;56;2763;609;597;37
61;Very Good;D;VVS2;596;57;2763;556;558;332
91;Fair;H;SI2;644;57;2763;611;609;393
91;Fair;H;SI2;657;60;2763;603;599;395
77;Ideal;H;VS2;62;56;2763;589;586;364
71;Very Good;D;SI1;636;58;2764;564;568;36
71;Ideal;D;SI1;619;59;2764;569;572;353
7;Very Good;E;VS2;626;60;2765;562;565;353
77;Very Good;H;VS1;613;60;2765;588;59;361
63;Premium;E;VVS1;609;60;2765;552;555;337
71;Very Good;F;VS1;601;62;2765;574;577;346
71;Premium;F;VS1;618;59;2765;569;573;353
76;Ideal;H;SI1;612;57;2765;588;591;361
64;Ideal;G;VVS1;619;56;2766;553;556;343
71;Premium;G;VS2;609;57;2766;578;575;351
71;Premium;G;VS2;598;56;2766;589;581;35
7;Very Good;D;VS2;618;55;2767;568;572;352
7;Very Good;F;VS1;60;57;2767;58;587;35
71;Ideal;D;SI2;616;55;2767;574;576;354
7;Good;H;VVS2;621;64;2767;562;565;35
71;Very Good;G;VS1;633;59;2768;552;561;352
73;Very Good;D;SI1;602;56;2768;583;587;352
7;Very Good;D;SI1;611;58;2768;566;573;348
7;Ideal;E;SI1;609;57;2768;573;576;35
71;Premium;D;SI2;617;59;2768;571;567;351
74;Ideal;I;SI1;613;56;2769;582;586;357
71;Premium;D;VS2;625;60;2770;565;561;352
73;Premium;G;VS2;614;59;2770;583;576;356
76;Very Good;F;SI1;629;57;2770;579;581;365
76;Ideal;D;SI2;624;57;2770;578;583;362
71;Ideal;F;SI1;607;56;2770;577;58;351
73;Premium;G;VS2;607;58;2770;587;582;355
73;Premium;G;VS1;615;58;2770;579;575;355
73;Ideal;D;SI2;599;57;2770;592;589;354
73;Premium;G;VS2;592;59;2770;592;587;349
72;Very Good;H;VVS2;603;56;2771;581;583;351
73;Very Good;F;SI1;617;60;2771;579;582;358
71;Ideal;G;VS2;619;57;2771;573;577;356
79;Ideal;F;SI2;619;55;2771;597;592;368
73;Very Good;H;VVS1;604;59;2772;583;589;354
8;Very Good;F;SI2;61;57;2772;601;603;367
58;Ideal;G;VVS1;615;55;2772;539;544;333
58;Ideal;F;VVS1;617;56;2772;533;537;33
71;Good;E;VS2;592;61;2772;58;588;346
75;Ideal;D;SI2;613;56;2773;585;589;36
7;Premium;D;VS2;58;62;2773;587;578;338
117;Very Good;J;I1;602;61;2774;683;69;413
6;Ideal;E;VS1;617;55;2774;541;544;335
7;Ideal;E;SI1;627;55;2774;568;574;358
83;Good;I;VS2;646;54;2774;585;588;379
74;Very Good;F;VS2;613;61;2775;58;584;357
72;Very Good;G;VS2;637;564;2776;562;569;361
71;Premium;E;VS2;627;58;2776;574;568;358
71;Ideal;E;VS2;622;57;2776;579;562;355
54;Ideal;E;VVS2;616;56;2776;525;527;324
54;Ideal;E;VVS2;615;57;2776;524;526;323
72;Ideal;G;SI1;618;56;2776;572;575;355
72;Ideal;G;SI1;607;56;2776;579;582;353
72;Good;G;VS2;597;605;2776;58;584;347
71;Ideal;G;SI1;605;56;2776;58;576;35
7;Very Good;D;VS1;627;58;2777;566;573;357
71;Premium;F;VS2;621;58;2777;567;57;353
71;Very Good;F;VS2;628;57;2777;564;569;356
71;Good;F;VS2;638;58;2777;561;564;359
71;Good;F;VS2;578;60;2777;587;59;34
7;Ideal;E;VS2;621;55;2777;57;567;353
7;Premium;E;VS2;611;60;2777;571;564;347
7;Premium;E;SI1;60;59;2777;579;575;346
7;Premium;E;SI1;612;57;2777;573;568;349
7;Premium;E;SI1;627;59;2777;567;563;354
7;Premium;E;SI1;61;57;2777;573;568;348
7;Premium;E;SI1;61;58;2777;578;572;351
7;Ideal;E;SI1;614;57;2777;576;57;352
72;Premium;F;SI1;618;61;2777;582;571;356
7;Very Good;E;SI1;599;63;2777;576;57;343
7;Premium;E;SI1;613;58;2777;571;568;349
7;Premium;E;SI1;605;58;2777;577;574;348
7;Good;E;VS2;641;59;2777;564;559;36
98;Fair;H;SI2;679;60;2777;605;597;408
78;Premium;F;SI1;624;58;2777;583;58;363
7;Very Good;E;SI1;632;60;2777;56;551;351
52;Ideal;F;VVS1;613;55;2778;519;522;319
73;Very Good;H;VS2;608;56;2779;582;584;355
74;Ideal;E;SI1;617;56;2779;584;58;359
7;Very Good;F;VS2;636;57;2780;561;565;358
77;Premium;G;VS2;612;58;2780;59;593;362
71;Ideal;F;VS2;621;54;2780;568;572;354
74;Ideal;G;VS1;615;55;2780;581;586;359
7;Ideal;G;VS1;614;59;2780;564;573;349
101;Premium;F;I1;618;60;2781;639;636;394
77;Ideal;H;SI1;622;56;2781;583;588;364
78;Ideal;H;SI1;612;56;2781;592;599;364
72;Very Good;H;VS1;606;63;2782;583;576;351
53;Very Good;D;VVS2;575;64;2782;534;537;308
76;Ideal;G;VS2;613;56;2782;59;594;363
7;Good;E;VS1;572;62;2782;581;577;331
7;Premium;E;VS1;629;60;2782;562;554;351
75;Very Good;D;SI2;631;58;2782;578;573;363
72;Ideal;D;SI1;608;57;2782;576;575;35
72;Premium;D;SI1;627;59;2782;573;569;358
7;Premium;D;SI1;628;60;2782;568;566;356
84;Fair;G;SI1;551;67;2782;639;62;347
75;Premium;F;SI1;614;59;2782;588;585;36
52;Ideal;F;IF;622;55;2783;514;518;321
72;Very Good;F;VS2;63;54;2784;569;573;36
79;Very Good;H;VS1;637;56;2784;585;592;375
72;Very Good;F;VS2;636;58;2787;566;569;361
51;Ideal;F;VVS1;62;57;2787;511;515;318
64;Ideal;D;VS1;615;56;2787;554;555;341
7;Very Good;H;VVS1;605;60;2788;574;577;348
83;Very Good;I;VS1;611;60;2788;607;61;372
76;Ideal;I;VVS2;618;56;2788;585;587;362
71;Good;D;VS2;633;56;2788;564;568;358
77;Good;G;VS1;594;64;2788;597;592;353
71;Ideal;F;SI1;625;55;2788;571;565;355
101;Fair;E;I1;645;58;2788;629;621;403
101;Premium;H;SI2;627;59;2788;631;622;393
77;Good;F;SI1;642;52;2789;581;577;372
76;Good;E;SI1;637;54;2789;576;585;37
76;Premium;E;SI1;604;58;2789;592;594;358
76;Premium;E;SI1;618;58;2789;582;586;361
105;Very Good;J;SI2;632;56;2789;649;645;409
81;Ideal;G;SI2;616;56;2789;597;601;369
7;Ideal;E;SI1;616;56;2789;572;575;353
55;Ideal;G;IF;609;57;2789;528;53;322
81;Good;G;SI2;61;61;2789;594;599;364
63;Premium;E;VVS2;621;57;2789;548;541;338
63;Premium;E;VVS1;609;60;2789;555;552;337
77;Premium;H;VS1;613;60;2789;59;588;361
105;Fair;J;SI2;658;59;2789;641;627;418
64;Ideal;G;IF;613;56;2790;554;558;341
76;Premium;I;VVS1;588;59;2790;6;594;351
83;Ideal;F;SI2;623;55;2790;602;605;376
71;Premium;F;VS1;601;62;2790;577;574;346
71;Premium;F;VS1;618;59;2790;573;569;353
87;Very Good;I;SI1;636;558;2791;607;61;387
73;Ideal;E;SI1;622;56;2791;574;578;358
71;Premium;E;SI1;592;59;2792;583;586;346
71;Premium;E;SI1;618;59;2792;57;575;354
71;Ideal;E;SI1;613;55;2792;572;577;352
7;Premium;F;VS1;621;60;2792;571;565;353
7;Premium;F;VS1;607;60;2792;578;575;35
76;Premium;H;VVS2;596;57;2792;591;586;351
7;Ideal;F;VS1;622;56;2792;573;568;355
79;Very Good;G;SI1;606;57;2793;598;606;365
7;Very Good;E;VS2;629;57;2793;566;569;357
7;Good;E;VS2;641;55;2793;56;566;361
76;Ideal;I;VS2;613;56;2793;587;591;361
73;Ideal;H;VS2;627;55;2793;572;576;36
79;Very Good;E;SI1;632;56;2794;591;586;372
71;Very Good;E;VS2;607;56;2795;581;582;353
81;Premium;I;VVS2;619;60;2795;591;586;364
81;Ideal;F;SI2;626;55;2795;592;596;372
72;Good;F;VS1;607;60;2795;574;572;348
72;Premium;D;SI2;62;60;2795;573;569;354
72;Premium;I;IF;63;57;2795;572;57;36
81;Premium;H;VS2;58;59;2795;617;613;357
72;Premium;G;VS2;629;57;2795;573;565;358
1;Premium;I;SI2;582;60;2795;661;655;383
73;Good;E;SI1;632;58;2796;57;576;362
81;Very Good;H;SI2;613;59;2797;594;601;366
81;Very Good;E;SI1;603;60;2797;607;61;367
71;Premium;D;SI1;627;60;2797;567;571;357
71;Premium;D;SI1;613;58;2797;573;575;352
71;Premium;D;SI1;616;60;2797;574;569;352
57;Ideal;F;VVS2;619;55;2797;534;535;331
51;Ideal;D;VVS1;617;56;2797;512;516;317
72;Ideal;G;VS2;619;58;2797;572;575;355
74;Ideal;H;VS1;618;58;2797;577;581;358
74;Ideal;H;VS1;616;56;2797;581;582;358
7;Fair;G;VVS1;588;66;2797;581;59;344
8;Premium;F;SI2;61;57;2797;603;601;367
101;Fair;E;SI2;674;60;2797;619;605;413
8;Very Good;H;VS2;634;60;2797;592;582;372
77;Ideal;I;VS1;615;59;2798;587;591;362
83;Very Good;E;SI2;58;62;2799;619;625;361
82;Ideal;F;SI2;624;54;2799;597;602;374
78;Ideal;D;SI1;619;57;2799;591;586;364
6;Very Good;G;IF;616;56;2800;543;546;335
9;Good;I;SI2;622;59;2800;607;611;379
7;Premium;E;VS1;622;58;2800;56;566;35
9;Very Good;I;SI2;613;56;2800;617;623;38
83;Ideal;G;SI1;623;57;2800;599;608;376
83;Ideal;G;SI1;618;57;2800;603;607;374
83;Very Good;H;SI1;625;59;2800;595;602;374
74;Premium;G;VS1;629;60;2800;574;568;359
79;Ideal;I;VS1;618;59;2800;592;595;367
61;Ideal;G;IF;623;56;2800;543;545;339
76;Fair;G;VS1;59;70;2800;589;58;346
96;Ideal;F;I1;607;55;2801;637;641;388
73;Ideal;F;VS2;625;55;2801;58;576;361
73;Premium;F;VS2;627;58;2801;576;57;359
75;Ideal;H;SI1;604;57;2801;593;596;359
71;Premium;F;VS2;621;58;2801;57;567;353
71;Good;F;VS2;578;60;2801;59;587;34
71;Good;F;VS2;638;58;2801;564;561;359
71;Premium;F;VS2;628;57;2801;569;564;356
104;Premium;G;I1;622;58;2801;646;641;4
1;Premium;J;SI2;623;58;2801;645;634;398
87;Very Good;G;SI2;599;58;2802;619;623;372
53;Ideal;F;IF;619;54;2802;522;525;324
72;Premium;E;VS2;63;55;2802;579;561;359
72;Premium;F;VS1;624;58;2802;583;57;36
7;Very Good;F;VS2;629;58;2803;563;565;355
74;Very Good;E;SI1;635;56;2803;574;579;366
71;Ideal;G;VS2;613;56;2803;575;571;351
73;Ideal;E;SI1;606;54;2803;584;589;355
7;Good;G;VS1;651;58;2803;556;559;363
71;Premium;F;VS2;626;58;2803;57;567;356
71;Premium;F;VS2;58;62;2803;585;581;338
71;Premium;G;VS1;624;61;2803;57;565;354
77;Premium;G;VS2;613;57;2803;593;588;362
71;Premium;G;VS2;599;60;2803;581;577;347
78;Premium;G;VS2;608;58;2803;603;595;364
71;Very Good;G;VS1;635;55;2803;566;564;359
91;Ideal;D;SI2;622;57;2803;621;615;385
71;Very Good;E;VS2;638;58;2804;562;566;36
71;Very Good;E;VS2;64;57;2804;566;568;363
8;Very Good;E;SI2;625;56;2804;588;596;37
7;Very Good;D;SI1;623;58;2804;569;573;356
72;Ideal;F;VS1;617;57;2804;574;577;355
72;Very Good;F;VS1;622;58;2804;575;57;356
82;Ideal;H;VS2;615;56;2804;601;608;372
7;Ideal;D;SI1;61;59;2804;568;57;347
72;Ideal;D;SI1;622;56;2804;574;577;358
72;Ideal;D;SI1;615;54;2804;577;58;356
9;Fair;I;SI1;673;59;2804;593;584;396
74;Premium;F;VS2;617;58;2805;585;578;359
74;Premium;F;VS2;619;56;2805;58;577;358
73;Ideal;E;SI2;618;58;2805;577;581;358
57;Fair;E;VVS1;587;66;2805;534;543;316
73;Premium;F;VS2;625;57;2805;575;57;358
72;Ideal;G;VS2;628;56;2805;574;57;359
74;Fair;F;VS2;611;68;2805;582;575;353
82;Good;G;VS2;64;57;2805;592;589;378
81;Very Good;G;SI1;625;60;2806;589;594;369
75;Very Good;H;VVS1;606;58;2806;585;59;356
7;Ideal;F;SI1;616;55;2806;572;574;353
71;Very Good;F;VS1;622;58;2807;566;572;354
71;Very Good;F;VS1;60;57;2807;584;59;352
93;Premium;J;SI2;619;57;2807;621;619;384
8;Very Good;H;VS2;628;57;2808;587;591;37
7;Very Good;F;VS1;62;57;2808;564;571;352
1;Fair;G;I1;664;59;2808;616;609;407
75;Very Good;G;VS2;634;56;2808;578;574;365
58;Ideal;E;VVS2;609;56;2808;541;543;33
73;Very Good;D;SI1;631;57;2808;574;57;361
81;Very Good;F;SI1;631;59;2809;585;579;367
81;Premium;D;SI2;592;57;2809;615;605;361
71;Premium;F;SI1;607;54;2809;584;58;353
12;Fair;F;I1;646;56;2809;673;666;433
7;Very Good;F;VS1;618;56;2810;563;57;35
7;Very Good;F;VS1;599;60;2810;577;584;348
74;Ideal;D;SI2;617;55;2810;581;585;36
7;Good;F;VS1;628;61;2810;557;561;351
8;Good;G;SI1;627;57;2810;584;593;369
75;Very Good;F;SI1;634;58;2811;572;576;364
83;Very Good;D;SI1;635;54;2811;598;595;379
1;Fair;J;VS2;657;59;2811;614;607;401
99;Fair;I;SI2;681;56;2811;621;606;418
7;Very Good;G;VS1;63;60;2812;557;564;353
7;Very Good;F;VS2;595;58;2812;575;585;345
7;Good;E;SI1;635;59;2812;549;553;35
7;Very Good;F;VS2;617;58;2812;563;569;349
32;Premium;I;SI1;627;58;554;437;434;273
32;Premium;I;SI1;628;58;554;439;434;274
32;Ideal;I;SI1;624;57;554;437;435;272
32;Premium;I;SI1;61;59;554;439;436;267
32;Very Good;I;SI1;631;56;554;439;436;276
32;Ideal;I;SI1;607;57;554;447;442;27
3;Premium;H;SI1;609;59;554;431;429;262
3;Premium;H;SI1;601;55;554;441;438;264
3;Premium;H;SI1;629;58;554;428;424;268
3;Very Good;H;SI1;633;56;554;429;427;271
3;Good;H;SI1;638;55;554;426;42;27
3;Ideal;H;SI1;629;57;554;427;422;267
3;Very Good;H;SI1;634;60;554;425;423;269
32;Good;I;SI1;639;55;554;436;434;278
33;Ideal;H;SI2;614;56;554;485;479;295
29;Very Good;E;VS1;619;55;555;428;433;266
29;Very Good;E;VS1;624;55;555;42;425;263
31;Very Good;F;SI1;618;58;555;432;435;268
34;Ideal;H;VS2;615;56;555;447;45;276
34;Ideal;H;VS2;604;57;555;454;457;275
34;Ideal;I;VS1;618;55;555;448;452;278
34;Ideal;I;VS1;62;56;555;45;453;28
3;Ideal;G;VS1;623;56;555;429;431;268
29;Ideal;F;VS1;616;56;555;426;431;264
35;Ideal;G;SI1;606;56;555;456;458;277
43;Very Good;E;I1;584;62;555;494;5;29
32;Very Good;F;VS2;614;58;556;437;442;27
36;Ideal;I;VS2;619;56;556;454;457;282
3;Ideal;G;VS2;62;56;556;428;43;266
26;Ideal;E;VS1;615;57;556;409;412;252
7;Very Good;F;VS2;623;58;2812;564;572;354
7;Very Good;F;VS2;609;61;2812;566;571;346
71;Ideal;D;SI1;624;57;2812;569;572;356
99;Fair;J;SI1;55;61;2812;672;667;368
73;Premium;E;VS2;586;60;2812;592;589;346
51;Ideal;F;VVS1;62;57;2812;515;511;318
91;Premium;G;SI2;598;58;2813;63;629;377
84;Very Good;E;SI1;634;55;2813;6;595;379
91;Good;I;VS2;643;58;2813;609;605;39
76;Premium;E;SI1;622;59;2814;586;581;363
76;Ideal;E;SI1;617;57;2814;588;585;362
75;Premium;E;SI1;611;59;2814;586;583;357
55;Very Good;D;VVS1;615;56;2815;523;527;323
76;Very Good;F;SI2;585;62;2815;593;601;349
74;Premium;G;VS1;617;58;2815;579;581;358
7;Ideal;H;SI1;604;56;2815;575;581;349
7;Ideal;H;SI1;614;56;2815;57;576;352
7;Ideal;H;SI1;615;55;2815;573;579;354
7;Ideal;H;SI1;614;56;2815;572;577;353
9;Fair;J;VS2;65;56;2815;608;604;394
95;Fair;F;SI2;56;60;2815;662;653;368
89;Premium;H;SI2;602;59;2815;626;623;376
72;Premium;E;VS2;583;58;2815;599;592;347
96;Fair;E;SI2;531;63;2815;673;665;355
102;Premium;G;I1;603;58;2815;655;65;394
78;Very Good;I;VVS2;614;56;2816;591;595;364
61;Ideal;G;VVS2;601;57;2816;552;554;332
71;Good;D;VS1;634;55;2816;561;569;358
78;Premium;F;SI1;615;59;2816;596;588;364
87;Ideal;H;SI2;627;56;2816;616;613;385
83;Ideal;H;SI1;625;55;2816;604;6;376
71;Premium;E;SI1;613;56;2817;578;573;353
71;Ideal;I;VVS2;602;56;2817;584;589;353
71;Ideal;E;VS2;627;57;2817;566;564;354
71;Premium;E;VS2;623;58;2817;569;565;353
63;Ideal;F;VVS2;615;56;2817;548;552;338
71;Premium;E;SI1;592;59;2817;586;583;346
71;Premium;E;SI1;618;59;2817;575;57;354
71;Ideal;E;SI1;613;55;2817;577;572;352
71;Premium;E;SI1;614;58;2817;577;573;353
9;Ideal;J;VS2;628;55;2817;62;616;388
71;Good;E;SI1;628;64;2817;56;554;35
7;Premium;E;VS2;624;61;2818;566;563;352
7;Premium;E;VS2;593;60;2818;578;573;341
7;Premium;E;VS2;63;60;2818;564;56;354
1;Premium;H;I1;613;60;2818;643;639;393
86;Premium;F;SI2;593;62;2818;636;622;373
8;Ideal;H;SI1;61;57;2818;607;6;368
7;Ideal;E;VS1;629;57;2818;566;561;354
7;Premium;E;VS1;596;57;2818;591;583;35
7;Premium;F;VS2;618;60;2818;569;564;35
7;Premium;E;VS1;627;57;2818;568;564;355
1;Fair;H;SI2;653;62;2818;634;612;408
72;Very Good;G;VS1;638;58;2819;564;568;361
72;Ideal;H;VS1;623;56;2819;573;577;358
7;Good;F;VS1;597;63;2819;576;579;345
86;Good;F;SI2;643;60;2819;597;595;383
71;Ideal;G;VS1;629;58;2820;566;569;357
75;Ideal;E;SI1;62;57;2821;58;578;359
73;Premium;E;VS2;616;59;2821;577;573;354
53;Ideal;E;VVS1;619;55;2821;52;521;322
73;Premium;E;SI1;613;58;2821;583;576;355
73;Good;E;SI1;636;57;2821;572;57;363
73;Premium;E;SI1;596;61;2821;592;585;351
73;Premium;E;SI1;622;59;2821;577;568;356
73;Premium;D;SI1;617;55;2821;584;582;36
73;Very Good;E;SI1;632;58;2821;576;57;362
7;Premium;E;VS1;608;60;2822;574;571;348
72;Premium;E;VS2;603;59;2822;584;58;351
72;Premium;E;VS2;609;60;2822;58;576;352
72;Premium;E;VS2;624;59;2822;577;57;358
7;Premium;E;VS2;602;60;2822;573;57;344
6;Ideal;F;VVS2;62;55;2822;537;54;334
74;Ideal;I;VVS1;608;57;2822;585;589;357
73;Ideal;F;SI1;621;55;2822;575;578;358
71;Premium;D;SI1;627;60;2822;571;567;357
71;Premium;D;SI1;613;58;2822;575;573;352
7;Premium;D;SI1;602;60;2822;582;575;348
7;Ideal;D;SI1;607;56;2822;575;572;348
9;Good;J;VS2;64;61;2822;604;603;386
71;Ideal;D;SI1;602;56;2822;586;583;352
7;Premium;E;VS2;615;59;2822;573;568;351
7;Premium;E;VS2;626;56;2822;571;566;356
7;Ideal;D;SI1;597;58;2822;582;577;346
7;Good;E;SI1;614;64;2822;571;566;349
7;Ideal;D;SI1;625;57;2822;562;559;351
7;Ideal;D;SI1;618;56;2822;573;563;351
7;Premium;E;VS2;607;62;2822;572;568;346
7;Premium;F;VS2;606;58;2822;58;572;349
7;Ideal;D;SI1;614;54;2822;575;571;352
79;Very Good;D;SI2;628;59;2823;586;59;369
9;Good;I;SI1;638;57;2823;606;613;389
71;Premium;E;VS2;623;58;2823;571;566;354
61;Ideal;E;VVS2;613;54;2823;551;559;34
9;Fair;H;SI2;658;54;2823;605;598;396
71;Ideal;E;SI1;605;56;2823;577;573;347
71;Premium;D;VS2;612;59;2824;574;569;35
77;Ideal;I;VVS2;621;57;2824;584;586;363
74;Good;E;VS1;631;58;2824;573;575;362
82;Ideal;F;SI2;624;54;2824;602;597;374
82;Premium;E;SI2;608;60;2824;605;603;367
71;Premium;G;VS1;622;59;2825;573;566;354
83;Premium;H;SI1;60;59;2825;608;605;364
73;Very Good;G;VS1;62;57;2825;575;58;358
83;Premium;H;SI1;625;59;2825;602;595;374
117;Premium;J;I1;602;61;2825;69;683;413
91;Fair;H;SI2;613;67;2825;624;619;381
73;Premium;E;VS1;626;60;2826;575;568;358
7;Good;E;VS1;572;59;2826;594;588;338
9;Premium;I;SI2;622;59;2826;611;607;379
7;Premium;E;VS1;622;58;2826;566;56;35
7;Very Good;D;VS2;633;56;2826;56;558;354
7;Premium;E;VS1;594;61;2826;578;574;342
9;Very Good;I;SI2;635;56;2826;617;607;388
78;Premium;F;SI1;608;60;2826;597;594;362
96;Ideal;F;I1;607;55;2826;641;637;388
7;Very Good;D;SI1;623;59;2827;567;57;354
72;Good;D;VS2;64;54;2827;568;57;364
79;Premium;H;VVS2;626;58;2827;596;59;371
7;Ideal;H;VVS1;616;57;2827;569;574;352
7;Ideal;H;VVS1;623;55;2827;566;57;354
7;Ideal;D;SI2;606;57;2828;574;577;349
101;Premium;H;SI2;616;61;2828;639;631;391
72;Premium;F;VS1;622;58;2829;575;57;356
8;Good;E;SI2;637;54;2829;591;587;375
59;Ideal;E;VVS1;62;56;2829;536;538;333
72;Ideal;F;VS1;617;57;2829;577;574;355
75;Premium;E;SI2;619;57;2829;588;582;362
8;Premium;E;SI2;602;57;2829;605;601;363
71;Very Good;E;VS2;627;59;2830;565;57;356
77;Very Good;H;SI1;617;56;2830;584;589;362
